03-27 23:35:07: Training starting...
03-27 23:35:08: New best reward 24.0 (-100.0%) at episode 0, saving model...
03-27 23:35:08: New best reward 32.0 (+33.3%) at episode 2, saving model...
03-27 23:35:08: New best reward 93.0 (+190.6%) at episode 15, saving model...
03-27 23:35:12: New best reward 195.0 (+109.7%) at episode 1448, saving model...
03-27 23:35:20: New best reward 202.0 (+3.6%) at episode 4667, saving model...
03-27 23:35:27: New best reward 217.0 (+7.4%) at episode 6414, saving model...
03-27 23:35:30: New best reward 256.0 (+18.0%) at episode 6883, saving model...
03-27 23:35:34: New best reward 326.0 (+27.3%) at episode 7910, saving model...
03-27 23:35:40: New best reward 366.0 (+12.3%) at episode 9151, saving model...
03-27 23:35:41: New best reward 472.0 (+29.0%) at episode 9190, saving model...
03-27 23:35:52: New best reward 503.0 (+6.6%) at episode 10902, saving model...
03-27 23:36:07: New best reward 579.0 (+15.1%) at episode 12691, saving model...
03-27 23:36:11: New best reward 589.0 (+1.7%) at episode 13060, saving model...
